sale_id,store_id,product_id,quantity,sale_date,amount
1,101,1,2,2024-01-05,64000
2,102,3,5,2024-01-05,2250
3,103,2,1,2024-01-06,4500
4,104,5,3,2024-01-06,2697
5,105,4,2,2024-01-07,5998
6,106,6,4,2024-01-07,1120
7,107,7,1,2024-01-08,1299
8,108,8,2,2024-01-08,3198
9,109,9,,2024-01-09,
10,110,10,1,2024-01-09,2499
11,111,3,3,2024-01-10,1350
12,112,1,1,2024-01-10,32000
13,101,5,,2024-01-11,
14,102,2,2,2024-01-11,9000
15,103,6,5,2024-01-12,1400
3,103,2,1,2024-01-06,4500
7,107,7,1,2024-01-08,1299
9,109,9,,2024-01-09,
