store_id,store_name,city,region
101,RetailMart Bandra,Mumbai,West
102,RetailMart CP,Delhi,North
103,RetailMart Koramangala,Bangalore,South
104,RetailMart Salt Lake,Kolkata,East
105,RetailMart Anna Nagar,Chennai,South
106,RetailMart Jubilee Hills,Hyderabad,South
107,RetailMart MG Road,Pune,West
108,RetailMart Sector 17,Chandigarh,North
109,RetailMart Park Street,Kolkata,East
110,RetailMart Linking Road,Mumbai,West
111,RetailMart Indiranagar,Bangalore,South
112,RetailMart Connaught Place,Delhi,North
